V1,V2,V3,V4
1560,238,1798,0.132369299221357
33,17,50,0.34
77,21,98,0.214285714285714
51,19,70,0.271428571428571
1413,199,1612,0.123449131513648
1510,226,1736,0.130184331797235
375,75,450,0.166666666666667
1301,187,1488,0.125672043010753
10,8,18,0.444444444444444
1677,245,1922,0.127471383975026
77,21,98,0.214285714285714
293,67,360,0.186111111111111
13,5,18,0.277777777777778
1677,245,1922,0.127471383975026
1397,215,1612,0.133374689826303
1398,214,1612,0.132754342431762
1178,124,1302,0.0952380952380952
1557,241,1798,0.134037819799778
991,125,1116,0.112007168458781
1105,135,1240,0.108870967741935
463,69,532,0.129699248120301
12,6,18,0.333333333333333
1676,246,1922,0.127991675338189
0,2,2,1
9,9,18,0.5
1560,238,1798,0.132369299221357
382,68,450,0.151111111111111
36,14,50,0.28
