V1,V2,V3,V4
36,14,50,0.28
1398,214,1612,0.132754342431762
1560,238,1798,0.132369299221357
33,17,50,0.34
1673,249,1922,0.129552549427679
1372,178,1550,0.114838709677419
1560,238,1798,0.132369299221357
1349,201,1550,0.129677419354839
10,8,18,0.444444444444444
13,5,18,0.277777777777778
463,69,532,0.129699248120301
1105,135,1240,0.108870967741935
51,19,70,0.271428571428571
77,21,98,0.214285714285714
1,1,2,0.5
13,5,18,0.277777777777778
320,70,390,0.179487179487179
1510,226,1736,0.130184331797235
1677,245,1922,0.127471383975026
1,1,2,0.5
1178,124,1302,0.0952380952380952
11,7,18,0.388888888888889
25,15,40,0.375
1351,199,1550,0.128387096774194
31,19,50,0.38
1557,241,1798,0.134037819799778
9,9,18,0.5
382,68,450,0.151111111111111
